Название,Оценка Film.ru,Оценка IMDb,Оценка пользователей,Год,Жанр,Страна,время,режиссер,сценарий,премьера,бюджет,сборы,кинопрокат,производство,другие названия,ссылки,режиссеры,длительность
Великолепная семерка,10,7.7,6.6,1960,боевик,вестерн,2 часа 8 минут,Джон Стерджес,  ...,12.10.1960 (мир),,,,"The Mirisch Company, Alpha Productions","Los siete magníficos, Die glorreichen Sieben, Les sept mercenaires, Великолепната седморка, Sete Homens E um Destino, Siete hombres y un destino, Sedm statecnych, Sedm statecných, Syv mænd sejrer, 7 djärva män, 7 rohkeaa miestä, 7 rohkeata miestä, Seitsemän rohkeaa miestä, Sju djärva män, Les 7 mercenaires, Kai oi 7 isan yperohoi, Kai oi 7 itan yperohoi, Και οι επτά ήταν υπέροχοι, Sedam veličanstvenih, A hét mesterlövész, I magnifici sette, Koya no shichinin, De syv uovervinnelige, Syv uovervinnelige, Siedmiu wspanialych, Os Sete Magníficos, Sedmorica veličanstvenih, 7 vågade livet, Sedem velicastnih, Yedi silahsörler, Sete Homens e um Destino, 豪勇七蛟龙, Sedm statečných, Και οι 7 ήταν υπέροχοι, Haft delavar, 荒野の七人, Šaunioji septyniuke, Siedmiu wspaniałych, Cei șapte magnifici, Седморица величанствених, Sedem veličastnih, 황야의 7인, 豪勇七蛟龍, Yedi silahşörler, Чудова сімка, Неперевершена сімка, Чудесна сімка",,,
Адаптация,10,7.7,6.7,2002,драма,комедия,1 час 55 минут,Спайк Джонз,Чарли Кауфман,17.04.2003 (РФ),19000000 $,$22 498 520 (США),Парадиз,"Beverly Detroit, Clinica Estetico, Good Machine, Intermedia, Magnet Productions, Propaganda Films","Adaption - Der Orchideendieb, Adaption., Il ladro di orchidee, Il ladro di orchidee - Adaptation., The Orchid Thief, El ladrón de orquídeas, Адаптация., Adaptação, Adaption: Der Orchideen-Dieb, Orkidé-tyven, Kuidas kirjutada kassafilmi, Adaptation, Adaptation - min version, Adaptation - minun versioni, Adaptation. Minun versioni, Adaptacija, Adaptáció, Adaptacja, Inadaptado, Prilagajanje, Tersyüz, Адаптацiя., El ladrón de orquideas","Официальный сайт (англ.)Официальный сайт (нем.)Хныки творчества (К.Тарханова)Близнецы-братья и сестры по духу (Валерий Кичин)Видеосеанс: классика обновленная, возрожденная и прижизненная (Валерий Кичин, ""Российская газета"")",,
Рыбка Поньо на утесе,10,7.6,7.2,2008,мультфильмы,комедия,1 час 41 минута,Хаяо Миядзаки,Мелисса Мэтисон,03.09.2009 (РФ),36000000 $,1 767 595 руб. (РФ),Ruscico,"Studio Ghibli, Nippon Television Network (NTV), Dentsu, Hakuhodo DY Media Partners, Walt Disney Company, Mitsubishi, Toho Company, Taikei Office, Asahi Soft Drinks Company, Lawson, The Yomiuri Shimbun, Pixar Animation Studios","Ponyo, Рыбка Поньо, Ponyo on the Cliff, Ponyo on the Cliff by the Sea, Gake no ue no Ponyo, Ponyo y el secreto de la sirenita, Поньо от скалата край морето, Ponyo: Uma Amizade que Veio do Mar, Ponyo das verzauberte Goldfischmädchen, Ponyo sur la falaise, Ponyo: Das grosse Abenteuer am Meer, Ponyo på klippen ved havet, Ponyo mäe otsas, Ponyo en el acantilado, Ponyo på klippan vid havet, Ponyo rantakalliolla, Ponyo na litici kraj mora, Ponyo a tengerparti sziklán, Ponyo sulla scogliera, Byeorang Wi Ui Ponyo, El secreto de la sirenita, Ponyo à Beira-Mar, Ponjo na litici iznad mora, Küçük Deniz Kizi Ponyo, Поньо на кручi, 崖上的波妞, Ponyo z útesu nad mořem, Πόνιο, 崖上的波兒, 崖の上のポニョ, Ponyo ant uolos prie juros, Ponyo z útesu nad morom, La Ponyo al penya-segat, Küçük Deniz Kızı Ponyo, Поньо на кручі, Nàng tiên cá Phương Đông",,,
Спасательная шлюпка,10,7.6,5.7,1944,война,драма,1 час 37 минут,Альфред Хичкок,  ...,11.01.1944 (мир),,,,Twentieth Century Fox Film Corporation,"8 a la deriva, De schipbreukelingen, Спасителната лодка, Um Barco e Nove Destinos, Redningsbåden, Náufragos, Pelastusvene, Canot de sauvetage, Lifeboat - les naufragés, Alfred Hitchcock's Production of Lifeboat, Navagoi, Ston iskio tou thanatou, Στον ίσκιο του θανάτου, Mentőcsónak, Prigionieri dell'oceano, Livbåten, Lódz ratunkowa, Livbåt, Спасательная шлюпка, Tahlisiye sandali - Yasamak istiyoruz, Das Rettungsboot",,,
Скотт Пилигрим против всех,10,7.5,6.8,2010,боевик,комедия,1 час 39 минут,Эдгар Райт,Брайан Ли О'Мэлли,19.08.2010 (РФ),60000000 $,12 628 928 руб. (РФ),UPI,"Universal Pictures, Marc Platt Productions, Big Talk Productions, Closed on Mondays Entertainment, Dentsu, Relativity Media, Scott Pilgrim Productions","Scott Pilgrim vs. los ex de la chica de sus sueños, Скот Пилгрим срещу света, Scott Pilgrim Contra o Mundo, Scott Pilgrim vs le monde, Scott Pilgrim gegen den Rest der Welt, Scott Pilgrim mod verden, Scott Pilgrim terve maailma vastu, Scott Pilgrim contra el mundo, Scott Pilgrim vastaan maailma, Scott Pilgrim, O Scott Pilgrim enantion ton 7 proin, Ο Σκοτ Πίλγκριμ εναντίον των 7 πρώην, Scott Pilgrim protiv svijeta, Scott Pilgrim a világ ellen, Haeksim Shel Hahavera Sheli, Sukotto Pirugurimu vs. Jaaku na Moto Kare Gundan, Skotas Pilgrimas pries pasauli, Skots Pilgrims Pret Pasauli, Scott Pilgrim kontra świat, Skot Pilgrim protiv celog sveta, Scott Pilgrim proti vsem, Scott Pilgrim Dünyaya Karsi, Scott Pilgrim's Precious Little Life, Scott Pilgrim vs. The World, スコット・ピルグリム VS. 邪悪な元カレ軍団, Skots Pilgrims pret pasauli, Scott Pilgrim împotriva tuturor, Скот Пилгрим против целог света, Scott Pilgrim proti celému svetu, 歪小子史考特, Scott Pilgrim Dünyaya Karşı, Скотт Пілігрим проти світу, Scott Pilgrim Chống Lại Cả Thế Giới",,,
Карамазовы,10,7.5,6.8,2008,драма,Чехия,1 час 50 минут,Петр Зеленка,Федор Достоевский,24.04.2008 (мир),1350000 $,,Кино Без Границ,"Ceska Televize, Polish Film Institute, Prvni Verejnopravni, Warsaw Pact Film Production","Bracia Karamazow, The Karamazov Brothers",Официальный сайт (пол.),,
Повелитель бури,10,7.5,6.6,2008,война,драма,2 часа 11 минут,Кэтрин Бигелоу,Марк Боал,14.01.2010 (РФ),15000000 $,$17 017 811 (США),Каскад Фильм,"Voltage Pictures, Grosvenor Park Media, Film Capital Europe Funds (FCEF ), First Light Production, Kingsgate Films, Summit Entertainment","Vivir al límite, Войната е опиат, Guerra ao Terror, Démineur, Zona de miedo, Smrt ceká vsude, Tödliches Kommando - The Hurt Locker, Piinakamber, En tierra hostil, Démineurs, Narednik James, A bombák földjén, Mit'an ha-ke'ev, Hurt Locker, Hâtto rokkâ, Isminuotoju burys, Sapieris, The Hurt Locker. W pulapce wojny, Estado de Guerra, Katanac za bol, Bombna misija, Smrt' caká vsade, Ölümcül tuzak,",,,
Лица,10,7.4,6.9,1968,драма,США,2 часа 10 минут,Джон Кассаветис,Джон Кассаветис,01.01.1970 (мир),,,,,"Лица, Ansigter, Rostros, Prosopa, Arcok, Volti, Twarze, Rostos, The Dynosaurs, Gesichter",,,
Убийство китайского букмекера,10,7.3,6.5,1976,драма,триллер,2 часа 15 минут,Джон Кассаветис,Джон Кассаветис,08.10.1977 (мир),,,,Faces Distribution,,,,
Царь Эдип,10,7.2,7.3,1967,драма,Италия,1 час 58 минут,Пьер Паоло Пазолини,Sophocles,03.09.1967 (мир),,,,"Arco Film, Somafis","Bett der Gewalt, Edipo Re - Bett der Gewalt, KAEnig aedipus, Oedipus Rex, Edipo re, Edipo rey, Édipo Rei, Едип цар, Oidipus, Oedipe roi, Βασιλεύς Οιδίπους, ο γυιός της μοίρας, Oidipusz király, Aporon no jigoku, Edipo, el hijo de la fortuna, Ødipus rex, Król Edyp, Rei Édipo, Oedip rege, Царь Эдип, Kung Oidipus, König Ödipus, Kralj Edip, Edipo Re, Edipo Rey, Oedipe Roi, Βασιλιάς Οιδίπους, アポロンの地獄, Edipas karalius, Ødipus Rex, Oedip Rege",,,
Доктор Ноу,10,7.2,6,1962,боевик,приключения,1 час 50 минут,Теренс Янг,  ...,05.10.1962 (мир),1100000 $,,,Eon Productions,"El satánico Dr. No, 007 - Dr. No, James Bond 007 contre Dr. No, James Bond 007 contre docteur No, James Bond 007 tegen Dr. No, Доктор Но, 007 Contra o Satânico Dr. No, O Satânico Dr. No, James Bond 007 jagt Dr. No, Agent 007 - mission drab, Agente 007 contra el doctor No, L'agent 007 contra el doctor No, Den hemliga agenten 007 och doktor No, Salainen agentti 007 ja tohtori No, Salainen agentti 007 ja tri No, Salainen agentti ja tri No, Docteur No, Doctor No, Ian Fleming's Dr. No, James Bond, praktor 007 enantion dros No, Δόκτωρ Νο, James Bond: Dr. No, 007 - Licenza di uccidere, Agente 007 - Licenza di uccidere, Licenza di uccidere, 007, Dokutâ Nô, Koroshi no bangô, Daktaras Ne, Agent 007, Doktor No, Agente Secreto 007, Dr No, Agent 007 med rätt att döda, Agent 007... med rätt att döda, Доктор Ноу, 007: Dr No, 007 ja Tri No, Tri No, 007は殺しの番号, Agente 007 contra el Dr. No, 第七號情報員, 007: Доктор Ноу, James Bond 007 contra el Dr. No, Tiến Sĩ No",,,
Аризонская мечта,10,7.2,6.1,1993,драма,комедия,2 часа 22 минуты,Эмир Кустурица,Эмир Кустурица,06.01.1993 (мир),19000000 $,,,"Canal+, Centre National du Cinéma et de l'Image Animée, Constellation, Hachette Première, Ministère de la Culture et de la Communication, Union Générale Cinématographique (UGC)","Arizona Dream, The Arrowtooth Waltz, Sueño de Arizona, Аризонска мечта, Arizona Dream: Um Sonho Americano, Rêve d'Arizona, El sueño de Arizona, Arizonai álmodozók, Il valzer del pesce freccia, Arizona, Sanje v Arizoni, Amerikan rüyasi, American Dreamers, Arizonos svajone, Amerikan Rüyası, Аризонська мрія, Sueños de Arizona, Sueños en Arizona",,,
Все страхи Бо,10,7.1,6,2023,драма,комедия,1 час 33 минуты,Ари Астер,Ари Астер,16.06.2023 (онлайн),,,Вольга,"A24, Access Entertainment, IPR.VC, Square Peg","Бо боится, Disappointment Boulevard, Mona's Choice, Beau Tem Medo, Beau a peur, On se bojí",,,
Декамерон,10,7.1,6.3,1971,драма,комедия,1 час 52 минуты,Пьер Паоло Пазолини,Пьер Паоло Пазолини,30.11.1970 (мир),,,,,"Decameron, Decamerone, Le DEcamEron, The Decameron",,,
Лок,10,7.1,6.3,2013,драма,Великобритания,1 час 25 минут,Стивен Найт,Стивен Найт,26.06.2014 (РФ),,$1 375 769 (США),Вест,"IM Global, Shoebox Films","Lok, Лок, No Turning Back, Se lathos hrono, Σε λάθος χρόνο, Locke - Nincs visszaút, オン・ザ・ハイウェイ　その夜、86分, Lokas, Опасни позив, 失控, Loạn Đả Tinh Thần",Сайт фильма,,
Мастер,10,7.1,6.6,2012,драма,США,2 часа 18 минут,Пол Томас Андерсон,Пол Томас Андерсон,13.10.2022 (РФ),32000000 $,$16 377 274 (США),Вольга,"The Weinstein Company, Ghoulardi Film Company, Annapurna Pictures","Учителят, O Mestre, Le maître, Mestari, Master, Ha'master, The Master: Todo hombre necesita un guía., Mistrz, The Master - O Mentor, Usta, Майстер, El maestro, Meister, ザ・マスター, Mokytojas, Maestrul, Gospodar, 世紀教主, Người Áp Chế",Сайт фильмаСайт фильма,,
Меланхолия,10,7.1,6.4,2011,драма,фантастика,2 часа 15 минут,Ларс фон Триер,Ларс фон Триер,07.07.2011 (РФ),7400000 $,33 820 804 руб. (РФ),Централ Партнершип,"Zentropa Entertainments, Memfis Film, Zentropa International Sweden, Slot Machine, Liberator Productions, Zentropa International Köln, Film i Väst, Danmarks Radio (DR), Arte France Cinéma, Sveriges Television (SVT), Canal+, Centre national du cinéma et de l'image animée (CNC), CinéCinéma, Edition Video, Nordisk Film Distribution, Det Danske Filminstitut, Eurimages, Nordisk Film- & TV-Fond, Swedish Film Institute, Filmstiftung Nordrhein-Westfalen, BIM Distribuzione","Меланхолия, Melancolia, Melancolía, Melanhoolia, Melankolija, Melankólia, Melancholija, Melanholija, Melankoli, Меланхолiя, Mélancholia, メランコリア, Меланхолија, 驚悚末日, Меланхолія, 忧郁症",,,
Видения,10,7.1,4.8,1972,детектив,ужасы,1 час 40 минут,Роберт Олтмен,,,,,,,Образы,,,
Высокие каблуки,10,7,6.3,1991,драма,комедия,1 час 52 минуты,Педро Альмодовар,Педро Альмодовар,23.10.1991 (мир),,,,"Canal+, CiBy 2000, El Deseo, TF1 Films Production","Tacones lejanos, De Salto Alto, Високи токчета, Talons aiguilles, Tacones Lejanos, 情迷高跟鞋, Visoke pete, Høje hæle, Korkeat korot, Die Waffen einer Frau, High Heels - Die Waffen einer Frau, Ψηλά Τακούνια, Tűsarok, Akevim Gvohim, Tacchi a spillo, ハイヒール, Aukšti kulniukai, Høye hæler, Wysokie obcasy, Saltos Altos, Visoke potpetice, Высокие каблуки, Höga klackar, 高跟鞋, Yüksek Topuklar",,,
"Бог существует, её имя – Петруния",10,6.8,5.4,2019,драма,Македония,1 час 40 минут,Теона Стругар Митевска,Эльма Татарагич,10.02.2019 (мир),,,,"Sister and Brother Mitevski, Entre Chien et Loup, Vertigo, Spiritus Movens, Deuxieme Ligne Films, EZ Films, Macedonian Film Agency, Eurimages, Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, L'Aide aux Cinémas du Monde, Centre national du cinéma et de l'image animée (CNC), Institut Français, Croatian Audiovisual Centre, Slovenian Film Center, Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius, Tax Shelter du Gouvernement Fédéral Belge, Digital District, Viba Film","God Exists, Her Name Is Petrunija, Bog ostaja, ime ji je Petrunija, Gospod postoi, imeto i' e Petrunija, Gott existiert, ihr Name ist Petrunya, Deus é Mulher e Seu Nome é Petúnia, Господ съществува, името й е Петруния, Dieu existe, son nom est Petrunya, 上帝存在，她叫佩特鲁尼娅, Bog postoji i njeno ime je Petrunija, Bůh existuje, její jméno je Petrunija, Gud eksisterer, hendes navn er Petrunya, Υπάρχει Θεός, το όνομά της είναι Πετρούνια, Isten létezik, és Petrunijának hívják, Gospod Postoi, Imeto I' E Petrunija, Dio è donna e si chiama Petrunya, ペトルーニャに祝福を, Dievas egzistuoja, jos vardas Petrunija, Bóg istnieje, a jej imię to Petrunia, Deus Existe, o Seu Nome É Petrunija, Dumnezeu Există Și Numele lui e Petrunija, Dios es mujer y se llama Petrunya, Gud finns, hennes namn är Petrunya, Onun Adı Petrunya, Бог існує, її ім'я - Петрунія, God Exists, Her Name Is Petrunya",,,
Счастье мое,10,6.8,5.5,2010,драма,Украина,2 часа 8 минут,Сергей Лозница,Cергей Лозница,31.03.2011 (РФ),,,P&I Films,"Sota Cinema Group, Ma.Ja.De, Lemming Film",Schastye moe,,,
Джеки,10,6.7,6.6,2016,биографический,драма,1 час 40 минут,Пабло Ларраин,Ноа Оппенхайм,23.02.2017 (РФ),,22 468 000 руб. (РФ),Cinema Prestige,"Fox Searchlight Pictures, LD Entertainment, Wild Bunch, Protozoa Pictures, Fabula, Why Not Productions, Endemol Shine North America, Bliss Media, Jackie Productions (II), TSG Entertainment","Jackie: Die First Lady, Zaklina, Jackie, Джаки, ジャッキー　ファーストレディ　最後の使命, Džekija, Džeki, 第一夫人的秘密, Джекі, Jackie: De Nhat Phu Nhan",,,
Возмутитель спокойствия,10,6.7,5.6,2013,детектив,драма,1 час 53 минуты,Алекс ван Вармердам,Алекс ван Вармердам,10.10.2013 (РФ),,$57 474 (США),Русский Репортаж,"Graniet Film BV, NTR, Epidemic, Mollywood, Dansk Filmfotograf Forbund (DFF)",Camiel Borgman,,,
